NEWID,INCLASS,FINCBTXM,iTotalExp,iFoodAtHome,iFoodAway,iHousing,otherHousing,iUtilites,iClothingAndBeauty,iTransportation,iHealthcare,iEntertainment,iMiscellaneous,iCharitableAndFamilyGiving,iInsurance,iEducation,iHousingPrinciple
2796055,9,145100.0,41987.80000000004,4059.9999999999964,519.9999999999995,960.0,16141.00000000004,4380.0,519.9999999999995,8027.999999999999,4378.8,0.0,0.0,3000.0,0.0,0.0,416.0
2796245,8,116500.0,57563.999999999985,5199.999999999995,3120.0,8699.999999999996,7584.000000000004,5288.0,1360.0,9112.0,7939.999999999999,3452.0,180.0,5000.0,628.0,0.0,2523.999999999996
2796625,2,42000.0,53939.999999999985,8439.999999999996,1040.0000000000005,11220.0,5403.999999999996,6228.0,3440.0,2952.0,7368.0,7848.0,0.0,0.0,0.0,0.0,3288.0
2796735,1,26506.0,30822.799999999996,4980.0,1040.0000000000005,9900.0,0.0,1452.0,0.0,2300.0,6794.799999999999,1860.0,1455.999999999996,1040.0,0.0,0.0,0.0
2796765,2,43067.0,36526.79999999998,1299.999999999996,312.0,1488.0,3088.0,4364.0,2216.0,5312.0,12766.800000000001,976.0,0.0,4240.0,464.0,0.0,1228.0
2797585,1,28954.4,43793.60000000002,3240.000000000003,1560.0,2376.0,3539.999999999996,2608.0,1204.0000000000005,13976.0,9529.599999999999,1520.0,0.0,4240.0,0.0,0.0,1908.0
2798755,5,78757.6,38868.00000000001,5979.999999999999,4800.0,6876.0,5496.000000000004,7080.0,1656.0,1864.0,1744.0,3372.0,0.0,0.0,0.0,0.0,4868.0
2799905,1,16110.4,46370.799999999974,5979.999999999995,6240.0,13200.0,3544.0,2572.0,352.0000000000004,4160.0,5686.8,4396.0,0.0,240.0,0.0,0.0,0.0
2800545,6,88993.8,67155.99999999999,9131.999999999996,1792.0000000000002,10800.0,1240.0,7396.0,1020.0,6540.0,22624.0,1772.0,0.0,4200.0,640.0,0.0,0.0
2803205,1,6249.0,36314.79999999996,3840.0,2160.0,12399.99999999996,540.0,3136.0,2776.0,1452.0,6578.799999999999,2136.0,1296.0,0.0,0.0,0.0,0.0
2803415,6,85000.0,51331.99999999997,4839.999999999996,4959.999999999996,10224.0,6192.000000000005,4948.0,4096.0,8452.0,3515.9999999999995,2240.0,1744.0,120.0,0.0,0.0,2940.0
2804615,1,8875.4,27136.000000000007,5356.0000000000055,2955.9999999999964,11808.0,0.0,2016.0,0.0,2400.0,2600.000000000004,0.0,0.0,0.0,0.0,0.0,0.0
2806385,1,21655.4,45303.99999999999,5199.999999999995,2600.000000000004,20400.0,1420.0000000000005,2580.0,0.0,2156.0,9120.0,1828.0,0.0,0.0,0.0,0.0,10676.0
2808385,1,27560.0,45741.60000000002,5380.000000000004,3960.0,3900.0,1300.0,1967.9999999999998,3480.0,5928.0,13113.600000000002,3496.0,16.0,3200.0,0.0,0.0,0.0
2808715,1,16498.0,33157.6,2600.000000000004,1299.999999999996,21600.0,320.0,2500.0,200.0000000000004,0.0,2517.6000000000004,920.0,0.0,1200.0,0.0,0.0,0.0
2811735,1,12195.0,14739.999999999993,1611.999999999996,1767.999999999996,4920.0,776.0,1496.0,328.0,2888.0,64.0,0.0,0.0,888.0,0.0,0.0,0.0
2811885,9,147787.0,68311.99999999999,5799.999999999995,3500.0000000000036,19836.0,14600.0,6352.0,4240.0,8124.0,3019.999999999996,2520.0,320.0,0.0,0.0,0.0,5388.0
