NEWID,INCLASS,FINCBTXM,iTotalExp,iFoodAtHome,iFoodAway,iHousing,otherHousing,iUtilites,iClothingAndBeauty,iTransportation,iHealthcare,iEntertainment,iMiscellaneous,iCharitableAndFamilyGiving,iInsurance,iEducation,iHousingPrinciple
2792005,3,23920.0,28012.000000000004,5220.000000000004,1040.0000000000005,6000.0,600.0,5856.0,0.0,4748.0,2444.000000000004,1584.0,519.9999999999995,0.0,0.0,0.0,3612.0
2796105,2,20000.0,27312.00000000001,2600.000000000004,2600.000000000004,15600.0,0.0,1620.0,320.0000000000004,2800.0,0.0,1772.0,0.0,0.0,0.0,0.0,0.0
2796235,3,21938.0,63014.79999999999,7040.000000000004,7139.999999999996,11712.0,7920.0,5876.0,440.0,9604.0,2446.7999999999997,5684.0,752.0,4400.0,0.0,0.0,10572.0
2796415,2,10350.0,8951.999999999996,2079.999999999996,1092.0,2116.0,340.0,3012.0,72.0,180.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0
2798045,2,13907.0,14642.8,2559.999999999996,519.9999999999995,3036.0,476.0,1104.0,416.0,144.0,1798.8000000000002,3688.0,780.0,120.0,0.0,0.0,0.0
2802195,3,21899.4,34838.8,2079.9999999999995,1560.0,1716.0,14188.0,3780.0,684.0,1408.0,7378.799999999999,2044.0,0.0,0.0,0.0,0.0,1376.0
2802735,1,3005.4,17068.0,1248.0,519.9999999999995,10800.0,0.0,3300.0,0.0,360.0,0.0,840.0,0.0,0.0,0.0,0.0,0.0
2803565,5,44000.0,58415.99999999997,1299.999999999996,1040.0000000000005,30192.0,2404.0,3212.0,2479.9999999999995,7476.0,8492.0,0.0,0.0,1820.0,0.0,0.0,7464.0
2806925,6,54656.0,40080.0,2600.000000000004,3483.9999999999964,8704.000000000002,11420.0,3216.0,1224.0,5856.000000000001,2447.9999999999955,856.0,192.0,80.0,0.0,0.0,2732.000000000001
2807685,5,49000.0,26900.000000000015,2600.000000000004,260.0000000000004,11892.0,2548.000000000004,3408.0,0.0,2560.0,2572.000000000004,1060.0,0.0,0.0,0.0,0.0,4424.0
2807955,7,130000.0,33168.0,2340.0,416.0000000000004,12300.0,4164.000000000004,3028.0,2304.0,2619.999999999999,200.0,2236.0,0.0,3560.0,0.0,0.0,3260.0
2809785,1,8753.6,8923.999999999998,2547.999999999996,3276.0,1080.0,480.0,120.0,279.99999999999994,720.0,0.0,420.0,0.0,0.0,0.0,0.0,0.0
2812475,6,59678.8,36356.0,4680.0,2600.000000000004,11040.0,3120.0,1460.0,1340.0,11072.0,-36.0,240.0,0.0,840.0,0.0,0.0,0.0
2813105,4,32259.0,15872.0,1856.000000000004,1299.999999999996,7068.0,64.0,1000.0,120.0,1248.0,2916.0,0.0,100.0,200.0,0.0,0.0,0.0
2813805,3,27508.0,29746.79999999999,2235.999999999996,624.0,12480.0,536.0,2128.0,360.0,4803.999999999999,4318.799999999999,1420.0,600.0,240.0,0.0,0.0,0.0
2836404,2,14259.0,18715.99999999999,2571.999999999996,1064.0000000000005,4356.0,3839.999999999996,3464.0,0.0,1284.0,0.0,1416.0,0.0,720.0,0.0,0.0,1716.0
2837844,2,14095.0,21926.799999999996,2912.000000000004,615.9999999999995,9228.0,39.999999999999964,1756.0,700.0,720.0,1258.8000000000002,4696.0,0.0,0.0,0.0,0.0,0.0
2838894,2,11052.0,5567.999999999996,2079.999999999996,416.0000000000004,408.0,0.0,708.0,1272.0,600.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0
2839314,6,53671.0,54425.99999999997,8759.999999999996,3840.000000000001,8556.0,8554.0,2056.0,531.9999999999995,5104.0,9532.0,2792.0,1499.999999999996,3200.0,0.0,0.0,3132.0
2844824,2,11759.0,18835.999999999993,4680.0,2079.999999999996,2604.0,2320.0,852.0,1752.0,1148.0,0.0,1800.0,759.9999999999995,840.0,0.0,0.0,0.0
2868084,7,73075.0,49135.99999999999,3120.0,5999.999999999996,11892.0,12512.0,3164.0,1415.9999999999998,1480.0,3240.0,3232.0,600.0,2480.0,0.0,0.0,6660.0
2876224,7,75000.0,21880.000000000004,2883.999999999996,1064.0000000000005,11220.0,559.9999999999999,2160.0,311.9999999999996,2352.0,80.00000000000003,1248.0,0.0,0.0,0.0,0.0,0.0
2878484,2,12359.0,11355.999999999996,3951.9999999999964,363.9999999999996,4632.0,0.0,620.0,120.0,288.0,1320.0,60.0,0.0,0.0,0.0,0.0,0.0
2923013,3,20459.0,18640.0,3380.0000000000036,1040.0000000000005,6000.0,480.0,5580.0,519.9999999999997,0.0,0.0,920.0,0.0,720.0,0.0,0.0,0.0
2924253,7,109355.0,34615.99999999999,1880.0000000000005,3360.0,13200.0,792.0,4852.0,2880.0,4987.999999999999,552.0,1632.0,180.0,300.0,0.0,0.0,0.0
2925203,2,12198.2,15471.999999999998,3120.0,40.0,5232.0,296.0,2324.0,1576.0000000000002,448.0,1320.0,1116.0,0.0,0.0,0.0,0.0,0.0
2926533,2,14363.0,33226.80000000001,3380.000000000004,1040.0000000000005,6980.000000000004,0.0,1440.0,1087.9999999999998,8480.0,9258.800000000001,0.0,1560.0,0.0,0.0,0.0,0.0
2926783,3,24619.0,37452.0,4160.000000000005,2279.999999999996,9984.0,4920.0,4328.0,760.0,2800.0,2140.0,2340.0,140.0,3600.0,0.0,0.0,3588.0
2927473,7,90111.0,48343.99999999999,5199.999999999995,519.9999999999995,18600.0,2620.0,3516.0,1480.000000000004,7380.0,3199.999999999996,4780.0,0.0,1048.0,0.0,0.0,0.0
2930593,2,12899.0,10260.0,3144.0,24.0,3600.0,0.0,2472.0,0.0,60.0,0.0,960.0,0.0,0.0,0.0,0.0,0.0
2930673,1,3410.0,29922.79999999999,2547.999999999996,1407.999999999996,17508.0,540.0,4740.0,0.0,600.0,1258.8000000000002,1320.0,0.0,0.0,0.0,0.0,2124.0
2931753,2,18899.0,23754.8,3135.999999999996,3196.0,9060.0,600.0,856.0,52.0,1024.0,4306.799999999999,1404.0,0.0,120.0,0.0,0.0,0.0
2932433,3,25061.0,22082.8,3120.0,1040.0000000000005,6252.0,2519.999999999996,1376.0,400.0,1760.0,2530.7999999999997,844.0,0.0,2240.0,0.0,0.0,1828.0
2945763,4,31427.8,33384.79999999999,4319.999999999996,3219.999999999996,5360.0,2233.9999999999995,2520.0,200.0000000000004,3000.0,10202.8,2328.0,0.0,0.0,0.0,0.0,0.0
2948914,2,14000.0,11700.0,2580.0,2079.999999999996,4800.0,0.0,1200.0,39.999999999999964,399.9999999999996,0.0,480.0,120.0,0.0,0.0,0.0,0.0
2949843,4,36259.4,17512.000000000004,1820.000000000004,1299.999999999996,1332.0,2852.000000000004,6716.0,0.0,792.0,1200.0,1260.0,0.0,240.0,0.0,0.0,0.0
2950873,4,32159.0,39362.8,4160.000000000005,5199.999999999995,14484.0,3980.0,2332.0,304.0,3392.0,2746.7999999999997,1560.0,1204.0,0.0,0.0,0.0,1536.0
2951623,4,37733.6,47430.79999999999,5460.0,2600.000000000004,21084.0,11479.999999999996,2688.0,0.0,1479.9999999999998,1258.8000000000002,1380.0,0.0,0.0,0.0,0.0,11800.0
2954963,2,12203.0,13459.999999999998,3120.0,1040.0000000000005,7200.0,0.0,516.0,0.0,600.0,984.0,0.0,0.0,0.0,0.0,0.0,0.0
2989102,7,116789.6,48976.0,4539.999999999995,1679.999999999996,14087.999999999996,6859.999999999996,5420.0,2483.9999999999995,2208.0,3512.000000000001,6672.0,252.0,1260.0,0.0,0.0,12019.999999999996
2989332,6,53000.0,22580.000000000007,4680.0,519.9999999999995,8712.0,2168.000000000004,2616.0,0.0,2672.0,900.0,312.0,0.0,0.0,0.0,0.0,2636.0
2990172,3,25523.0,13710.800000000007,1584.0000000000002,984.0,1520.000000000004,4132.0,720.0,195.99999999999994,948.0,2086.8,1160.0,0.0,380.0,0.0,0.0,0.0
2994382,6,60000.0,30491.999999999993,2340.0,2399.999999999996,12300.0,1508.0,940.0,159.99999999999963,4020.0,2820.0,3204.0,0.0,800.0,0.0,0.0,0.0
2995002,6,54108.2,26066.79999999996,2028.0,1820.000000000004,12171.99999999996,1300.0,1164.0,180.0,720.0,5558.799999999999,1104.0,0.0,20.0,0.0,0.0,0.0
2997172,1,9160.0,4470.8,24.0,24.0,3000.0,20.0,144.0,0.0,0.0,1258.8000000000002,0.0,0.0,0.0,0.0,0.0,0.0
2997622,5,50000.0,30859.999999999985,3471.9999999999964,1299.999999999996,6600.0,3279.999999999996,3916.0,1816.0,8320.000000000002,0.0,704.0,684.0,768.0,0.0,0.0,0.0
2999572,1,6947.0,15703.999999999996,960.0,156.0,9600.0,1299.999999999996,2732.0,0.0,956.0,0.0,0.0,0.0,0.0,0.0,0.0,7972.0
2999792,3,26000.0,33514.799999999996,2319.999999999996,260.0000000000004,19104.0,0.0,1900.0,140.0,1440.0,5990.800000000001,2360.0,0.0,0.0,0.0,0.0,0.0
3000382,6,54000.0,32926.8,3120.0,1040.0000000000005,9780.0,3568.0,5668.0,1272.0,3815.9999999999995,3922.800000000004,688.0,52.0,0.0,0.0,0.0,0.0
3002802,2,16716.0,14582.800000000003,2964.0,51.999999999999964,7620.0,0.0,400.0,48.0,336.0,1258.8000000000002,1904.0,0.0,0.0,0.0,0.0,0.0
3007752,4,34752.4,24492.000000000004,2600.000000000004,780.0,5316.0,5280.0,2548.0,0.0,1312.0000000000002,3828.0,868.0,0.0,1960.0,0.0,0.0,1576.0
3008102,3,22879.0,54542.8,5700.0,4600.000000000004,12300.0,9347.999999999996,3180.0,1032.0,10528.0,2318.8,3696.0,240.0,1600.0,0.0,0.0,5424.0
3008562,3,24319.0,18538.8,4680.0,260.0000000000004,4740.0,1358.0000000000005,2740.0,356.0,204.0,3070.7999999999997,600.0,330.0,200.0,0.0,0.0,1532.0
3009022,5,41079.0,31070.800000000003,3639.9999999999964,1040.0000000000005,5244.0,2460.0,2700.0,336.0,4615.999999999999,4814.800000000004,1520.0,699.9999999999995,4000.0,0.0,0.0,3644.0
3045792,5,41871.0,32370.800000000003,6639.999999999995,1040.0000000000005,6492.0,2368.000000000004,3324.0,420.0,4679.999999999999,4302.8,2752.0,152.0,200.0,0.0,0.0,5436.0
3047321,2,15683.0,16548.799999999996,2103.999999999996,24.0,4836.0,69.99999999999997,2192.0,100.00000000000003,3468.0,3058.8,684.0,12.0,0.0,0.0,0.0,3528.0
3047452,1,4655.0,33106.79999999999,2079.999999999996,3900.0,8400.0,6460.000000000004,2180.0,300.0,1356.0000000000002,4606.799999999999,1308.0,100.0,2416.0,0.0,0.0,2944.0
3048214,1,8868.0,3827.999999999999,543.9999999999995,180.0,2256.0,0.0,608.0,60.0,120.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
3049653,2,14504.4,21032.0,2547.999999999996,104.00000000000003,5700.0,3759.999999999996,2532.0,200.0000000000004,2708.0,1776.0,1704.0,0.0,0.0,0.0,0.0,0.0
3049801,3,23256.0,18034.800000000007,1720.0,320.0,8100.0,360.0,796.0,80.00000000000003,1476.0,3586.7999999999997,900.0,96.0,600.0,0.0,0.0,0.0
3049841,3,26385.0,19274.799999999992,4263.999999999995,228.0,7056.0,260.0,424.0,403.9999999999996,3876.0,2170.8,492.0,0.0,100.0,0.0,0.0,0.0
3050252,3,26304.0,25482.800000000007,4680.0,1040.0000000000005,7800.0,3624.0,660.0,600.0,2492.0,1258.8000000000002,2608.0,0.0,720.0,0.0,0.0,0.0
3050302,4,31059.0,17226.800000000003,1820.000000000004,1299.999999999996,5400.0,208.0,2016.0,840.0,4384.0,1258.8000000000002,0.0,0.0,0.0,0.0,0.0,0.0
3050894,4,36289.4,49296.00000000003,2624.000000000004,2624.000000000004,4404.0,4660.0,4648.0,1168.0,13672.0,12600.0,2416.0,0.0,480.0,0.0,0.0,868.0
3051174,1,7678.2,12023.999999999996,3435.999999999999,2695.999999999996,1296.0,0.0,1400.0,0.0,2500.0000000000005,0.0,696.0,0.0,0.0,0.0,0.0,0.0
3051712,7,136281.1,31139.999999999996,519.9999999999995,4300.0,9168.0,4888.0,2324.0,848.0,3328.0,96.0,1868.0,200.0,3600.0,0.0,0.0,1028.0
3051763,3,21551.0,25196.000000000004,1560.0,1460.0000000000002,3468.0,4556.0,3636.0,0.0,2136.0,4528.0,3780.0,72.0,0.0,0.0,0.0,420.0
3052744,5,43620.0,28460.000000000004,3080.000000000004,1800.0,5352.0,2756.0,1792.0,1424.0,2544.0,4404.0,4440.0,168.0,700.0,0.0,0.0,1444.0
3052981,1,9659.0,7455.999999999996,3275.999999999997,519.9999999999995,2868.0,0.0,720.0,0.0,24.0,12.0,0.0,36.0,0.0,0.0,0.0,0.0
3054262,4,32046.0,25758.800000000007,3880.000000000005,1140.0,7920.0,7500.000000000004,2500.0,520.0,800.0,1258.8000000000002,0.0,240.0,0.0,0.0,0.0,2904.0
3054851,3,22397.6,35158.79999999999,4059.999999999996,1299.999999999996,12811.999999999996,5700.000000000004,3280.0,159.99999999999963,2264.0,3370.7999999999997,1008.0,1204.0000000000005,0.0,0.0,0.0,7295.999999999996
3057532,2,16645.0,23982.8,1820.000000000004,3900.0,12180.0,400.0,1996.0,584.0,900.0,1338.8000000000002,864.0,0.0,0.0,0.0,0.0,0.0
3057801,1,2480.0,18634.79999999999,1323.999999999996,543.9999999999995,8307.999999999996,516.0,224.0,1120.0,720.0,5318.799999999999,560.0,0.0,0.0,0.0,0.0,0.0
3058382,2,19591.0,15992.800000000001,2199.999999999996,1820.000000000004,3012.0,1106.0,1692.0,1320.0,1272.0,1626.8000000000002,1008.0,136.0,800.0,0.0,0.0,2904.0
3059701,1,8930.0,18400.799999999992,2547.999999999996,416.0000000000004,2988.0,1142.0,1704.0,0.0,3411.9999999999995,4906.799999999999,1284.0,0.0,0.0,0.0,0.0,1860.0
3059902,2,15719.2,19478.799999999996,2775.999999999996,780.0,8520.0,368.0,556.0,480.0,960.0,2566.7999999999997,1272.0,0.0,1200.0,0.0,0.0,0.0
3060643,2,13440.0,25380.0,6783.999999999996,699.9999999999995,3012.0,644.0,7224.0,168.0,3043.999999999999,264.0,0.0,0.0,3540.0,0.0,0.0,2904.0
3061603,1,5315.0,43874.8,9140.000000000004,900.0,18000.0,2540.0,3300.0,1539.9999999999998,480.0,3898.7999999999997,2636.0,1440.0000000000002,0.0,0.0,0.0,0.0
3071581,6,56705.0,22974.800000000007,2259.999999999996,1820.000000000004,4800.0,1040.0,3828.0,840.0000000000002,2396.0,2338.7999999999997,1652.0,0.0,2000.0,0.0,0.0,0.0
3072212,4,38000.0,33842.8,3015.999999999996,2604.0,11360.000000000004,832.0,2360.0,867.9999999999995,679.9999999999999,7866.8,2416.0,0.0,1840.0,0.0,0.0,0.0
3072761,6,68000.0,44452.0,2547.999999999999,4580.0,18936.0,5872.000000000004,4020.0,0.0,3500.0,3560.0,1356.0,0.0,80.0,0.0,0.0,13760.0
3074031,2,18539.0,27094.800000000003,3120.0,2600.000000000004,7728.0,3404.0,2508.0,600.0,3020.0,2506.8,1608.0,0.0,0.0,0.0,0.0,2772.0
3074924,2,15365.0,24906.799999999996,1143.9999999999995,260.0000000000004,11556.0,400.0,732.0,436.0,2928.0,5774.799999999999,0.0,0.0,1676.0,0.0,0.0,0.0
3075174,2,16783.6,14148.0,936.0,363.9999999999996,5760.0,2312.0,552.0,260.0000000000004,944.0,728.0,732.0,1560.0,0.0,0.0,0.0,0.0
3075451,3,25697.0,15784.799999999997,5199.999999999995,312.0,4128.0,470.0000000000004,1596.0,312.0,744.0,3022.7999999999997,0.0,0.0,0.0,0.0,0.0,1216.0
3078731,1,9792.0,27360.0,2175.999999999996,2000.0000000000002,9120.0,10052.0,468.0,272.0,720.0,3.9999999999999964,2200.0,108.0,240.0,0.0,0.0,0.0
